iter	Passed	Remaining
0	0	95
1	2	124
2	4	147
3	6	152
4	8	158
5	10	160
6	12	161
7	14	165
8	16	164
9	18	164
10	20	165
11	22	165
12	24	163
13	26	160
14	27	156
15	29	155
16	31	154
17	33	153
18	35	151
19	37	150
20	39	148
21	41	146
22	43	144
23	45	143
24	47	142
25	49	141
26	51	139
27	53	137
28	55	136
29	57	134
30	60	134
31	61	131
32	63	128
33	65	126
34	67	124
35	68	122
36	70	120
37	72	118
38	74	116
39	76	114
40	77	111
41	78	108
42	80	106
43	81	103
44	83	101
45	84	99
46	86	97
47	87	95
48	89	93
49	90	90
50	91	88
51	93	85
52	94	83
53	95	81
54	96	78
55	97	76
56	98	74
57	99	72
58	100	70
59	101	67
60	102	65
61	104	63
62	105	61
63	106	59
64	106	57
65	107	55
66	108	53
67	109	51
68	110	49
69	111	47
70	112	45
71	113	43
72	113	42
73	114	40
74	115	38
75	116	36
76	117	35
77	118	33
78	119	31
79	120	30
80	121	28
81	122	26
82	123	25
83	123	23
84	124	21
85	125	20
86	126	18
87	127	17
88	127	15
89	128	14
90	129	12
91	130	11
92	130	9
93	131	8
94	132	6
95	133	5
96	134	4
97	135	2
98	136	1
99	137	0
